term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos
hardheaded,hardhead,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
battleaxes,battleax,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
cicerone,ciceron,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
vassals,vassal,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
feudal,feudal,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
thousandth,thousandth,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
perversity,pervers,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
amaury,amauri,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
crusaders,crusad,1,20274,6.732320253781545e-07,20.502392857485294,0,NNPS,1,{'NNPS'}
earless,earless,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
wordsworth,wordsworth,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
rejoining,rejoin,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
retaliated,retali,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
sterrs,sterr,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
guillaume,guillaum,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
mountainrange,mountainrang,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
narrower,narrow,1,20274,6.732320253781545e-07,20.502392857485294,0,JJR,1,{'JJR'}
checkered,checker,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
charcoalburners,charcoalburn,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
drawbridges,drawbridg,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
twincity,twinciti,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
brickwork,brickwork,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
woodfire,woodfir,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
inquirers,inquir,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
rubaut,rubaut,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
cardtable,cardtabl,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
unwell,unwel,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
fauteuil,fauteuil,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
bloodvessel,bloodvessel,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
nonmoral,nonmor,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
communicative,communic,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
1170,1170,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
mural,mural,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
wellmerited,wellmerit,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
crusader,crusad,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
plausibility,plausibl,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
gratuitous,gratuit,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
unfounded,unfound,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
unmingled,unmingl,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
attaches,attach,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
procèsverbal,procèsverb,1,20274,6.732320253781545e-07,20.502392857485294,0,RB,1,{'RB'}
stumped,stump,1,20274,6.732320253781545e-07,20.502392857485294,0,VBD,1,{'VBD'}
ville,vill,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
disposes,dispos,1,20274,6.732320253781545e-07,20.502392857485294,0,VBZ,1,{'VBZ'}
decorous,decor,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
renaud,renaud,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
mucus,mucus,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
emotionalism,emot,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
sinus,sinus,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
pia,pia,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
gorged,gorg,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
choroid,choroid,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
pleurus,pleurus,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
infiltrated,infiltr,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
scandal,scandal,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
15000000,15000000,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
recessional,recession,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
tooconfiding,tooconfid,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
embellishment,embellish,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
parliamentary,parliamentari,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
archivist,archivist,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
frailty,frailti,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
naygre,naygr,1,20274,6.732320253781545e-07,20.502392857485294,0,MD,1,{'MD'}
conciliatory,conciliatori,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
superscription,superscript,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
gravely,grave,1,20274,6.732320253781545e-07,20.502392857485294,0,RB,1,{'RB'}
braincover,braincov,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
foudroyante,foudroyant,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
avis,avi,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
archeological,archeolog,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
casement,casement,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
donjon,donjon,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
chef,chef,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
bataillon,bataillon,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
unseemly,unseem,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
apoplexie,apoplexi,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
yverdun,yverdun,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
charàbanc,charàbanc,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
scottron,scottron,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
tailoring,tailor,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
décayette,décayett,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
beaubien,beaubien,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
neybe,neyb,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
mathas,matha,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
cannonball,cannonbal,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
arbitrarily,arbitrarili,1,20274,6.732320253781545e-07,20.502392857485294,0,RB,1,{'RB'}
dearlyloved,dearlylov,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
destinations,destin,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
indissoluble,indissolubl,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
hedouville,hedouvill,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
firebrands,firebrand,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
moise,mois,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
philosophic,philosoph,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
horde,hord,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
exterminating,extermin,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
chefdœuvre,chefdœuvr,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
fallacious,fallaci,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
menacing,menac,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
roguery,rogueri,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
troudeau,troudeau,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
laculdusaut,laculdusaut,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
citadels,citadel,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
pikes,pike,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
wyandotte,wyandott,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
héros,héros,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
criminally,crimin,1,20274,6.732320253781545e-07,20.502392857485294,0,RB,1,{'RB'}
riflemen,riflemen,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
quarrelling,quarrel,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
lordonnateur,lordonnateur,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
proportionate,proportion,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
depositories,depositori,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
welldisciplined,welldisciplin,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
drouët,drouët,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
bastions,bastion,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
saintraphaël,saintraphaël,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
pontdelester,pontdelest,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
miraut,miraut,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
dubourg,dubourg,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
verrettes,verrett,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
fondbaptiste,fondbaptist,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
délices,délice,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
overthrown,overthrown,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
libertyhating,libertyh,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
traffickers,traffick,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
reinstated,reinstat,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
quotes,quot,1,20274,6.732320253781545e-07,20.502392857485294,0,VBZ,1,{'VBZ'}
intercourses,intercours,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
xxi,xxi,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
442,442,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
contradicted,contradict,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
reclaim,reclaim,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
commissaries,commissari,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
perilled,peril,1,20274,6.732320253781545e-07,20.502392857485294,0,VBD,1,{'VBD'}
partialities,partial,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
unsupported,unsupport,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
158,158,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
epictetus,epictetus,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
absurdly,absurd,1,20274,6.732320253781545e-07,20.502392857485294,0,RB,1,{'RB'}
mornes,morn,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
caffarelli,caffarelli,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
acclaimed,acclaim,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
millar,millar,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
freyburgh,freyburgh,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
evincing,evinc,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
placability,placabl,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
memorials,memori,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
mistrusting,mistrust,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
repossess,repossess,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
terrorists,terrorist,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
jacobins,jacobin,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
bonapartists,bonapartist,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
desisting,desist,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
imminence,immin,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
detach,detach,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
undeceived,undeceiv,1,20274,6.732320253781545e-07,20.502392857485294,0,VBD,1,{'VBD'}
lile,lile,1,20274,6.732320253781545e-07,20.502392857485294,0,FW,1,{'FW'}
curb,curb,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
dhayti,dhayti,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
justine,justin,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
391,391,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
dissemblers,dissembl,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
obtainable,obtain,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
xlii,xlii,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
onus,onus,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
abduction,abduct,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
granpa,granpa,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
vehement,vehement,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
sumting,sumt,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
tates,tate,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
highwater,highwat,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
pineknot,pineknot,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
flavour,flavour,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
sugarbottoms,sugarbottom,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
cooperating,cooper,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
adjourn,adjourn,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
bolls,boll,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
comemorial,comemori,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
tuskegeeinstitutework,tuskegeeinstitutework,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
keck,keck,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
fruitgrowing,fruitgrow,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
beeculture,beecultur,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
poultryraising,poultryrais,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
1700000,1700000,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
3000000,3000000,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
150000,150000,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
deeded,deed,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
unsought,unsought,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
parlours,parlour,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
follette,follett,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
odell,odel,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
perfects,perfect,1,20274,6.732320253781545e-07,20.502392857485294,0,VBZ,1,{'VBZ'}
diningsaloon,diningsaloon,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
mapped,map,1,20274,6.732320253781545e-07,20.502392857485294,0,VBD,1,{'VBD'}
higginson,higginson,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
diningtable,diningt,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
exalt,exalt,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
ape,ape,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
goodbys,goodbi,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
housing,hous,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
friesland,friesland,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
canalboats,canalboat,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
twain,twain,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
rotterdam,rotterdam,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
coyle,coyl,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
waterloo,waterloo,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
harlan,harlan,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
luxembourg,luxembourg,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
richardson,richardson,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
nullified,nullifi,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
gaiety,gaieti,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
41860,41860,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
linsey,linsey,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
doubleshovel,doubleshovel,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
gilead,gilead,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
carbon,carbon,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
quilting,quilt,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
applepeeling,applepeel,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
cornshucking,cornshuck,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
neighbormen,neighbormen,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
feefounder,feefound,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
fo,fo,1,20274,6.732320253781545e-07,20.502392857485294,0,VBD,1,{'VBD'}
1858mrs,1858mrs,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
twotine,twotin,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
dogwood,dogwood,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
beech,beech,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
windrow,windrow,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
shocks,shock,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
cradles,cradl,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
burlew,burlew,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
manipulated,manipul,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
cockpit,cockpit,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
threshed,thresh,1,20274,6.732320253781545e-07,20.502392857485294,0,VBN,1,{'VBN'}
rick,rick,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
amorphous,amorph,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
overawing,overaw,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
secessionists,secessionist,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
198,198,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
bornthe,bornth,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
trundlebed,trundleb,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
counterpane,counterpan,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
stews,stew,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
tripods,tripod,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
sterrett,sterrett,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
226,226,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
leniency,lenienc,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
corrects,correct,1,20274,6.732320253781545e-07,20.502392857485294,0,VBZ,1,{'VBZ'}
thessalonica,thessalonica,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
beatest,beatest,1,20274,6.732320253781545e-07,20.502392857485294,0,JJS,1,{'JJS'}
2313,2313,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
dwarf,dwarf,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
chipping,chip,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
2917,2917,1,20274,6.732320253781545e-07,20.502392857485294,0,CD,1,{'CD'}
reforms,reform,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
homstead,homstead,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
institutelaundry,institutelaundri,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
bois,boi,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
compton,compton,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
objectlessons,objectlesson,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
berkshire,berkshir,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
carnes,carn,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
arbour,arbour,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
nickels,nickel,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
producer,produc,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
schwabe,schwabe,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
brickmaker,brickmak,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
bicknell,bicknel,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
publicspeaking,publicspeak,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
impressing,impress,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
ridding,rid,1,20274,6.732320253781545e-07,20.502392857485294,0,VBG,1,{'VBG'}
openingday,openingday,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
illtimed,illtim,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
photoair,photoair,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
forecasts,forecast,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
headlines,headlin,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
absorbs,absorb,1,20274,6.732320253781545e-07,20.502392857485294,0,VBP,1,{'VBP'}
degruyter,degruyt,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
ode,ode,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
sickbed,sickb,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
commencements,commenc,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
twentyfivecent,twentyfivec,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
disorganize,disorgan,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
roller,roller,1,20274,6.732320253781545e-07,20.502392857485294,0,NNP,1,{'NNP'}
coffeecup,coffeecup,1,20274,6.732320253781545e-07,20.502392857485294,0,NN,1,{'NN'}
wellventilated,wellventil,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
welllighted,welllight,1,20274,6.732320253781545e-07,20.502392857485294,0,JJ,1,{'JJ'}
perjures,perjur,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
yields,yield,1,20274,6.732320253781545e-07,20.502392857485294,0,NNS,1,{'NNS'}
brew,brew,1,20274,6.732320253781545e-07,20.502392857485294,0,VB,1,{'VB'}
